node_id,cx,cy,i,j,seed_row,seed_col,col_hat_float,row_hat_float,col_hat_round,row_hat_round,final_row,final_col,source,notes
n611,153.084709,1268.402064,40,459,,,2.835389,25.667955,3,26,26,3,computed,
n612,206.092851,1308.437140,57,463,26,4,3.960096,25.917852,4,26,26,4,seed,
n613,155.427798,1310.924397,45,466,,,3.166185,26.105275,3,26,26,3,computed,
n614,110.677630,1211.060091,29,433,24,2,2.107638,24.043627,2,24,24,2,seed,
n615,111.098834,1264.473088,30,455,25,2,2.173797,25.418059,2,25,25,2,seed,
n616,113.441923,1306.995421,34,461,26,2,2.438434,25.792904,2,26,26,2,seed,
n617,205.251497,1356.398292,55,476,27,4,3.827777,26.730016,4,27,27,4,seed,
n618,154.586444,1358.885549,42,478,,,2.967708,26.854965,3,27,27,3,computed,
n619,205.672701,1409.811289,56,494,28,4,3.893936,27.854551,4,28,28,4,seed,
n620,155.007647,1412.298546,43,499,,,3.033867,28.166922,3,28,28,3,computed,
n621,208.015790,1452.333622,61,508,29,4,4.224732,28.729190,4,29,29,4,seed,
n622,157.350736,1454.820880,49,511,,,3.430822,28.916612,3,29,29,3,computed,
n623,112.600569,1354.956573,32,474,27,2,2.306116,26.605068,2,27,27,2,seed,
n624,113.021773,1408.369570,33,492,,,2.372275,27.729603,2,28,28,2,computed,
n625,115.364862,1450.891903,35,506,,,2.504593,28.604241,3,29,29,3,computed,
n626,63.425387,1404.024219,18,486,28,1,1.379887,27.354758,1,27,28,1,seed,"SEED_CONFLICT seed=(28,1) computed=(27,1)"
n627,65.768476,1446.546552,19,502,29,1,1.446046,28.354345,1,28,29,1,seed,"SEED_CONFLICT seed=(29,1) computed=(28,1)"
n628,109.711981,1504.749542,27,518,,,1.975320,29.353931,2,29,29,2,computed,
n629,112.055070,1547.271875,31,529,31,2,2.239957,30.041147,2,30,31,2,seed,"SEED_CONFLICT seed=(31,2) computed=(30,2)"
n630,60.115595,1500.404190,17,512,30,1,1.313728,28.979086,1,29,30,1,seed,"SEED_CONFLICT seed=(30,1) computed=(29,1)"
n631,59.193732,1546.191476,15,528,31,1,1.181410,29.978673,1,30,31,1,seed,"SEED_CONFLICT seed=(31,1) computed=(30,1)"
n632,155.497553,1502.905267,45,516,30,3,3.166185,29.228983,3,29,30,3,seed,"SEED_CONFLICT seed=(30,3) computed=(29,3)"
n633,14.808469,1544.587436,6,527,31,0,0.585977,29.916199,1,30,31,0,seed,"SEED_CONFLICT seed=(31,0) computed=(30,1)"
n634,1624.461871,1165.593025,512,428,,,34.062527,23.731256,34,24,24,34,computed,
n635,1574.585876,1214.494639,493,437,,,32.805502,24.293524,33,24,24,33,computed,
